No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
302,Jawa Barat VII,,Puteri Komarudin,Komisi XI,,Golkar,142.046,
385,Jawa Barat VII,,Saan Mustopa,Komisi II,,NasDem,74.695,Wakil Ketua DPR-RI
459,Jawa Barat VII,,Ahmad Syaikhu,,,PKS,163.775[9],[Ket. 19]
459,Jawa Barat VII,,H. Jalal Abdul Nasir Ak.,Komisi XII,,PKS,31.732,[Ket. 20]
506,Jawa Barat VII,,Verrell Bramasta,Komisi X,,PAN,94.810,
552,Jawa Barat VII,,dr. Hj. Cellica Nurrachadiana M.H.Kes,Komisi IX,,Demokrat,152.084,Wakil Ketua Badan Aspirasi Masyarakat DPR RI
23,Jawa Barat VIII,,H. Dedi Wahidi,Komisi X,,PKB,88.462,
102,Jawa Barat VIII,,Kardaya Warnika,Komisi VII,,Gerindra,64.425,
184,Jawa Barat VIII,,Prof. Dr. Ir. H. Rokhmin Dahuri M.S.,Komisi IV,,PDI-P,94.081,
185,Jawa Barat VIII,,"Hj. Selly Andriany Gantina A.Md., S.T.",Komisi VIII,,PDI-P,63.910,
303,Jawa Barat VIII,,H. Daniel Mutaqien Syafiuddin S.T.,Komisi V,,Golkar,89.357,
304,Jawa Barat VIII,,Dave Akbarshah Firkarno M.E.,Komisi I,,Golkar,80.526,Wakil Ketua Komisi I DPR RI
386,Jawa Barat VIII,,"Satori S.Pd.I., M.M.",Komisi VIII,,NasDem,70.708,
460,Jawa Barat VIII,,Dr. Hj. Netty Prasetiyani M.Si.,Komisi IX,,PKS,67.263,Ketua Badan Aspirasi Masyarakat DPR RI
553,Jawa Barat VIII,,Dr. Ir. H. E. Herman Khaeron M.Si.,Komisi VI,,Demokrat,78.033,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI
24,Jawa Barat IX,,K. H. Maman Imanul Haq M.M.,Komisi VIII,,PKB,60.886,
103,Jawa Barat IX,,"Dr. H. Jefry Romdonny S.E., S.Sos., M.Si., M.M.",Komisi XI,,Gerindra,98.290,
186,Jawa Barat IX,,"Dr. H. Hasanuddin S.E., M.M.",Komisi I,,PDI-P,79.525,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI
305,Jawa Barat IX,,"Elita Budiati S.K.M., M.Si.",Komisi I,,Golkar,96.498,
306,Jawa Barat IX,,Galih Dimuntur Kartasasmita,Komisi XI,,Golkar,91.816,
387,Jawa Barat IX,,"Ujang Bey S.I.P., M.I.P.",Komisi II,,NasDem,31.546,
461,Jawa Barat IX,,Ir. H. Ateng Sutisna,Komisi II,,PKS,81.286,
507,Jawa Barat IX,,"Farah Puteri Nahlia B.A., M.Sc.",Komisi I,,PAN,146.014,
25,Jawa Barat X,,"Rina Sa'adah Lc., M.Si.",Komisi IV,,PKB,59.992,
104,Jawa Barat X,,H. Rokhmat Ardiyan M.M.,Komisi XII,,Gerindra,104.307,
187,Jawa Barat X,,Hj. Ida Nurlaela Wiradinata,Komisi VI,,PDI-P,64.040,
307,Jawa Barat X,,"Dr. Tr. Agun Gunandjar S. Bc.I.P., M.Si.",Komisi XIII,,Golkar,61.935,Wakil Ketua Badan Aspirasi Masyarakat DPR RI
388,Jawa Barat X,,"Dr. Shohibul Imam CA., CPA.",Komisi XI,,NasDem,56.776,
462,Jawa Barat X,,"Dr. K. H. Surahman Hidayat Lc., M.A.",Komisi III,,PKS,71.497,
508,Jawa Barat X,,Ir. H. Herry Dermawan,Komisi IV,,PAN,47.460,
26,Jawa Barat XI,,Hj. Imas Aan Ubudiah S.Pd.I.,Komisi VI,,PKB,126.813,
27,Jawa Barat XI,,H. Oleh Soleh S.H.,Komisi I,,PKB,125.198,
105,Jawa Barat XI,,"Muhammad Husein Fadlulloh B.Bus., M.M., M.B.A.",Komisi VI,,Gerindra,188.083,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI
106,Jawa Barat XI,,Mulan Jameela S.S.,Komisi VI,,Gerindra,83.526,
188,Jawa Barat XI,,Dony Maryadi Oekon S.T.,Komisi XII,,PDI-P,97.925,Wakil Ketua Komisi XII DPR RI
308,Jawa Barat XI,,Ade Ginanjar S.Sos.,Komisi II,,Golkar,216.938,
309,Jawa Barat XI,,"Ferdiansyah S.E., M.M.",Komisi X,,Golkar,97.464,
389,Jawa Barat XI,,Lola Nelria Oktavia,Komisi III,,NasDem,48.097,
463,Jawa Barat XI,,"H. Mohamad Sohibul Iman M.Sc., Ph.D.",Komisi XIII,,PKS,76.661,
509,Jawa Barat XI,,"Muhammad Hoerudin Amin S.Ag., M.H.",Komisi X,,PAN,85.917,
28,Jawa Tengah I,,H. Alamuddin Dimyati Rois S.Sos.,Komisi IX,,PKB,86.016,[Ket. 21]
107,Jawa Tengah I,,"H. Sugiono B.Sc., M.Sc.",,,Gerindra,62.855,[Ket. 22]
107,Jawa Tengah I,,Jamal Mirdad,Komisi I,,Gerindra,23.644,[Ket. 23][2]
189,Jawa Tengah I,,"Mochamad Herviano Widyatama S.Sos., M.M.",Komisi V,,PDI-P,230.113,
190,Jawa Tengah I,,Samuel J. D. Wattimena,Komisi VII,,PDI-P,67.812,
310,Jawa Tengah I,,Firnando Hadityo Ganinduto B.A.,Komisi VI,,Golkar,63.881,
390,Jawa Tengah I,,Drs. Fadholi,Komisi V,,NasDem,91.487,
464,Jawa Tengah I,,"Dr. H. Muhammad Haris S.S., M.Si.",Komisi XII,,PKS,64.945,
554,Jawa Tengah I,,"H. A. S. Sukawijaya alias Yoyok Sukawi S.E., M.M.",,,Demokrat,98.265,[Ket. 24]
554,Jawa Tengah I,,dr. Raja Faisal Manganju Sitorus,Komisi XIII,,Demokrat,21.903,[Ket. 25]
29,Jawa Tengah II,,"Fathan S.Ag., M.A.P.",,,PKB,130.155,[Ket. 26]
29,Jawa Tengah II,,Hj. Hindun Anisah M.A.,Komisi IV,,PKB,64.454,[Ket. 27]
108,Jawa Tengah II,,Abdul Wachid,Komisi VIII,,Gerindra,68.843,Wakil Ketua Komisi VIII DPR RI
